SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 01/08 05:00, CONC, Pre-Match, FAS – Perez Zeledon 0:0, 1 asian, 1.95, 20, bet365, 2-1, +19,
Soccer, 01/08 21:15, PER1, Live, 46′ San Martin – Sporting Cristal 0.75:0 (0-0), 2 asian, 1.80, 20, pinnacle, 0-3, +16,
Soccer, 01/08 23:30, PER1, Live, 8′ UTC Cajamarca – Dep. Municipal 0:0.25 (0-0), 1 asian, 1.73, 20, pinnacle, 1-0, +14.6,
Soccer, 04/08 22:00, URU1, Live, 23′ Danubio – Racing Club 0:0.25, 2 asian, 1.95, 20, pinnacle, 1-1, +9.5,
Soccer, 04/08 23:00, BOL1, Live, 35′ Destroyers – Jorge Wilstermann 0.25:0 (0-0), 1 asian, 1.86, 20, pinnacle, 0-0, +8.6,
Soccer, 05/08 04:00, COL1, Pre-Match, Millonarios – Medellin, X2, 1.75, 25, bet365, 0-1, +18.75,
Soccer, 05/08 05:00, MEX1, Pre-Match, Cruz Azul – Tigres 0:0.25, 2 asian, 1.86, 20, pinnacle, 1-0, -20,
Soccer, 05/08 20:00, MEX1, Pre-Match, Toluca – Chivas 0:0.75, 2 asian, 1.80, 30, bet365, 2-2, +24,
Soccer, 05/08 22:30, COST1, Live, 16′ Carmelita – Limon 0:0 (0-0), 1 asian, 1.88, 20, bet365, 2-1, +17.5,
Soccer, 05/08 22:30, VEN1, Live, 39′ Caracas – Estudiantes Caracas 0:0.75 (0-1), 1 asian, 1.96, 20, pinnacle, 1-2, -20,
Soccer, 05/08 23:30, GUAT, Pre-Match, Guastatoya – Siquinala 0:0.75 (0-0), 1 asian, 1.93, 15, bet365, 1-0, +6.98,
Soccer, 06/08 00:01, URU1, Pre-Match, Torque – Defensor Sporting 0.25:0, 1 asian, 1.90, 25, pinnacle, 0-0, +11.25,
Soccer, 11/08 19:00, CHI1, Live, 10′ Palestino – Temuco 0:0.5 (0-0), 1 asian, 1.90, 20, sbobet, 1-1, -20,
Soccer, 11/08 22:00, BRA1, Live, 45′ Ceara – Atl. Paranaense 0:0 (0-0), 1 asian, 1.70, 20, bet365, 0-0, 0,
Soccer, 11/08 23:00, VEN1, Live, 22′ Portuguesa – Anzoategui 0:0 (0-0), 1 asian, 1.75, 20, pinnacle, 1-1, 0,
Soccer, 12/08 01:00, MEX1, Pre-Match, Lobos – Atlas 0:0.25, 2 asian, 1.88, 20, pinnacle, 0-0, +8.8,
Soccer, 12/08 05:00, MEX1, Pre-Match, Club America – Monterrey 0:0, 1 asian, 1.70, 20, bet365, 3-0, +14,
Soccer, 12/08 20:00, GUAT, Live, 7′ Municipal – Guastatoya 0:0.75 (0-0), 1 asian, 1.95, 15, bet365, 0-2, -15,
Soccer, 12/08 21:00, URU1, Live, 4′ River Plate – Danubio 0:0 (0-0), 1 asian, 2.10, 20, bet365, 1-2, -20,
Soccer, 12/08 23:45, ARG1, Live, 3′ Rosario Central – Banfield 0:0.5 (0-0), 1 asian, 1.85, 15, bet365, 1-0, +12.7,
Soccer, 13/08 00:00, ELSLV1, Live, 11′ Pasaquina – FAS 0:0 (0-0), 1 asian, 1.93, 20, bet365, 1-1, 0,
Soccer, 13/08 04:06, MEX1, Pre-Match, Tijuana – Cruz Azul 0:0, 1 asian, 1.70, 20, pinnacle, 1-1, 0,
Soccer, 19/08 18:00, CHI1, Live, 3′ Iquique – Colo Colo 0.25:0 (0-0), 1 asian, 1.83, 20, pinnacle, 2-1, +16.66,
Soccer, 19/08 21:00, URU1, Pre-Match, Fenix – Defensor Sporting 0.25:0, 1 asian, 1.90, 20, pinnacle, 1-2, -20,
Soccer, 19/08 21:00, URU1, Live, 10′ Rampla Juniors – Racing Club 0:0 (0-0), 1 asian, 1.84, 20, pinnacle, 2-0, +16.8,
Soccer, 21/08 00:00, VEN1, Live, 18′ Mineros – Estudiantes Merida 0:0.75 (0-0), 1 asian, 1.85, 20, pinnacle, 2-1, +8.5,
Soccer, 23/08 03:45, SUDAM, Pre-Match, LDU Quito – Deportivo Cali 0:0.5, 2 asian, 1.83, 25, pinnacle, 1-0, -25,
Soccer, 23/08 19:00, BRACUP, Live, 77′ Mesquita U20 – Juventus U20 (5-0), over 5.5, 1.80, 10, bet365, 5-0, -10,
Soccer, 25/08 21:30, URU1, Live, 75′ Cerro – Progreso (3-2), over 5.5, 2.10, 15, bet365, 5-2, +16.5,
Soccer, 25/08 23:30, ECU2, Pre-Match, Santa Rita – LDU Loja 0:0.5, 1 asian, 1.75, 15, bet365, 0-1, -15,
Soccer, 26/08 04:00, GUAT, Pre-Match, Coban Imperial – Petapa, 1, 1.72, 20, bet365, 2-0, +14.4,
Soccer, 26/08 05:00, MEX1, Pre-Match, Necaxa – Tigres 0:0, 2 asian, 1.76, 20, pinnacle, 1-1, 0,
Soccer, 26/08 20:00, GUAT, Live, 31′ Municipal – Iztapa 0:0.75 (0-0), 1 asian, 1.85, 20, bet365, 1-3, -20,
Soccer, 26/08 21:30, URU1, Pre-Match, Liverpool – Danubio, over 2.5, 1.83, 20, bet365, 3-0, +16.5,
Soccer, 26/08 21:30, ARG1, Live, 21′ Lanus – Aldosivi 0:0.5 (0-1), 1 asian, 1.88, 20, pinnacle, 0-1, -20,
Soccer, 26/08 22:30, CHI3, Live, 83′ Malleco Unido – Independiente (2-2), over 4.5, 2.62, 10, bet365, 2-2, -10,
Soccer, 26/08 23:30, CHI1, Live, 6′ Union La Calera – Iquique 0:0 (0-0), 1 asian, 1.75, 20, bet365, 1-0, +15,
Soccer, 27/08 00:15, BOL1, Live, 16′ Guabira – Oriente Petrolero 0:0 (0-0), 2 asian, 1.95, 20, bet365, 0-1, +19,
Soccer, 27/08 02:00, CHI1, Pre-Match, Audax Italiano – Un. Catolica, over 2.75, 1.95, 25, pinnacle, 0-0, -25,
Soccer, 28/08 02:00, COL1, Pre-Match, Patriotas – Jaguares 0:0.5, 1 asian, 1.88, 20, pinnacle, 4-0, +17.6,
Soccer, 01/09 22:00, BOL1, Pre-Match, Aurora – The Strongest 0.75:0, 2 asian, 1.93, 20, bet365, 1-2, +9.3,
Soccer, 01/09 23:30, ECU1, Pre-Match, Un. Catolica – El Nacional, over 2.5, 1.76, 20, pinnacle, 1-2, +15.2,
Soccer, 02/09 03:00, MEX1, Pre-Match, Leon – Pumas, over 2.75, 1.96, 25, pinnacle, 1-2, +12,
Soccer, 02/09 17:00, ARG1, Pre-Match, Racing Club – Rosario Central 0:0.5, 2 asian, 1.80, 20, pinnacle, 2-0, -20,
Soccer, 02/09 20:00, GUAT, Live, 6′ Antigua – Iztapa 0:0.75 (0-0), 1 asian, 1.95, 20, bet365, 1-0, +9.5,
Soccer, 02/09 20:05, COST1, Live, 12′ Alajuelense – Saprissa (0-0), over 2.25, 1.83, 25, bet365, 1-0, -25,
Soccer, 02/09 22:00, CHI2, Live, 74′ Dep. Valdivia – Cobreloa (2-2), over 4.5, 1.93, 20, pinnacle, 3-2, +18.6,
Soccer, 02/09 22:30, CHI3, Live, 73′ Fernandez Vial – Dep. Vallenar (1-0), over 1.75, 1.83, 20, pinnacle, 1-0, -20,
Soccer, 03/09 00:01, PER1, Live, 13′ Alianza Lima – Sp. Rosario 0:0.75 (0-0), 1 asian, 1.94, 25, pinnacle, 1-0, +11.78,
Soccer, 03/09 00:01, ELSLV1, Pre-Match, FAS – Limeno 0:0.75 (0-0), 1 asian, 1.83, 20, bet365, 2-3, -20,
Soccer, 03/09 00:01, ECU2, Pre-Match, Fuerza Amarilla – Gualaceo 0:0.5, 1 asian, 1.80, 20, bet365, 1-0, +16,
Soccer, 04/09 02:00, COL2, Pre-Match, Cortulua – Bogota 0:0.75, 1 asian, 1.80, 20, bet365, 3-2, +8,
Soccer, 06/09 02:00, COL1, Pre-Match, America Cali – Jaguares 0:0.75, 1 asian, 1.86, 20, pinnacle, 2-1, +8.6,
Soccer, 08/09 00:00, ECU2, Live, 18′ Manta – Clan Juvenil 0:0.5 (0-0), 1 asian, 1.80, 20, bet365, 2-1, +16,
Soccer, 08/09 21:30, URU1, Pre-Match, Cerro – Defensor Sporting 0.25:0, 1 asian, 1.88, 20, bet365, 1-1, +8.75,
Soccer, 08/09 23:00, PAR1, Pre-Match, Sp. Luqueno – Cerro Porteno 0.75:0, 2 asian, 1.87, 20, pinnacle, 1-2, +8.7,
Soccer, 09/09 21:45, URU1, Live, 57′ River Plate – Nacional 0.5:0 (0-0), 2 asian, 1.85, 20, bet365, 0-0, -20,
Soccer, 09/09 22:00, CHI2, Live, 5′ Santiago Wanderers – Nublense 0:0.75 (0-0), 1 asian, 2.09, 25, pinnacle, 2-1, +13.62,
Soccer, 11/09 23:30, PER1, Live, 30′ Ayacucho – Melgar 0:0 (0-0), 2 asian, 1.83, 20, bet365, 0-0, 0,
Soccer, 12/09 21:00, GUAT, Pre-Match, Santa Lucia – Iztapa 0:1, 2 asian, 1.90, 20, bet365, 2-0, -20,
Soccer, 13/09 00:01, COST1, Live, 25′ Carmelita – Perez Zeledon 0:0 (0-0), 2 asian, 1.70, 20, bet365, 1-1, 0,
Soccer, 15/09 19:15, ARG1, Pre-Match, Independiente – Colon, X2, 1.83, 20, bet365, 3-0, -20,
Soccer, 16/09 02:00, COST2, Pre-Match, Uruguay – Puerto Golfito 0:0, 1 asian, 1.90, 20, pinnacle, 1-1, 0,
Soccer, 16/09 04:00, PER1, Pre-Match, Academia Cantolao – Universitario 0:0, 2 asian, 1.85, 20, bet365, 2-0, -20,
Soccer, 16/09 21:30, URU1, Live, 8′ Atenas – Cerro 0:0 (0-0), 2 asian, 1.78, 20, bet365, 0-1, +15.5,
Soccer, 17/09 00:01, PER1, Pre-Match, Alianza Lima – Sp. Cristal, 1Χ, 1.66, 30, bet365, Interrupted, 0,
Soccer, 17/09 02:00, MEX1, Pre-Match, Atlas – Tijuana 0:0, 1 asian, 1.76, 20, pinnacle, 0-1, -20,
Soccer, 22/09 03:00, MEX1, Pre-Match, Monarcas – Pumas, over 2.5, 1.83, 25, pinnacle, Interrupted, 0,
Soccer, 22/09 03:15, ECU1, Pre-Match, El Nacional – Macara, X2, 1.70, 25, bet365, 1-2, +17.5,
Soccer, 22/09 18:00, CHI1, Pre-Match, Palestino – Union Espanola 0:0.25, 2 asian, 1.81, 20, pinnacle, 1-1, +8.1,
Soccer, 22/09 19:00, ESP2, Live, 8′ Zaragoza – Lugo 0:0.75 (0-0), 1 asian, 1.94, 20, pinnacle, 0-2, -20,
Soccer, 22/09 22:00, BOL1, Live, 45′ Club Destroyers- Aurora (0-0), 1, 2.00, 20, pinnacle, 1-0, +20,
Soccer, 23/09 05:00, GUAT, Pre-Match, Xelaju – Iztapa, 1, 1.90, 15, bet365, 1-0, +13.5,
Soccer, 23/09 19:15, ARG1, Live, 29′ San Martin San Juan – Tucumán 0.25:0 (0-0), 1 asian, 1.90, 20, pinnacle, 1-3, -20,
Soccer, 23/09 22:30, BRA1, Pre-Match, Corinthians – Internacional 0:0, 1 asian, 1.88, 20, pinnacle, 1-1, 0,
Soccer, 23/09 23:00, ECU2, Live, 11′ Fuerza Amarilla – Clan Juvenil 0:0.75 (0-0), 1 asian, 2.00, 20, bet365, 2-1, +10,
Soccer, 23/09 23:30, PER2, Live, 37′ Sport Victoria – Alianza Atletico 0:0 (0-0), 1 Asian, 1.73, 20, bet365, 0-3, -20,
Soccer, 24/09 00:00, ELSLV1, Live, 4′ Santa Tecla – Jocoro 0:0.75 (0-0), 1 Asian, 1.93, 20, pinnacle, 2-0, +18.6,
Soccer, 24/09 00:01 24-09 00:01, MEX1 MEX1, Pre-Match, Guadalajara – Queretaro 0:0.5 Guadalajara - Queretaro, 2 asian under 2.5, 1.80 1.75, 20 15, bet365, 1-1, +27.25,
Soccer, 29/09 22:00, BOL1, Live, 18′ Un. de Sucre – Destroyers 0:0.5 (0-0), 1 asian, 1.88, 20, pinnacle, 1-0, +17.54,
Soccer, 29/09 22:30, BOL2, Live, 12′ Ferrocarril – Juventud Unida 0:0.75 (1-1), 1 asian, 1.93, 20, bet365, 5-2, +18.5,
Soccer, 29/09 22:30, BOL2, Pre-Match, Petrolero Yacuiba – Bermejo, 1, 1.90, 20, bet365, 0-1, -20,
Soccer, 30/09 05:00, MEX1, Pre-Match, Necaxa – Santos Laguna 0:0, 1 asian, 1.74, 20, pinnacle, 0-1, -20,
Soccer, 30/09 23:15, COL1, Live, 2′ Jaguares – Deportivo Pasto 0:0.5 (0-0), 1 asian, 1.97, 20, bet365, 0-2, -20,
Soccer, 01/10 00:01, PER1, Pre-Match, Alianza Lima – Real Garcilaso 0:0.75, 1 asian, 1.91, 20, pinnacle, 1-0, +9.1,
Soccer, 01/10 00:30, ECU1, Pre-Match, Barcelona – LDU Quito 0:0.75, 1 asian, 1.93, 20, pinnacle, 1-1, -20,
Soccer, 03/10 17:30, VENCUP, Live, 36′ Deportivo La Guaira – Anzoategui 0:0.75 (1-1), 1 asian, 1.97, 20, pinnacle, 1-1, -20,
Soccer, 03/10 21:15, PER1, Live, 18′ San Martin – Binacional 0:0.75 (0-0), 1 asian, 1.80, 30, bet365, 1-0, +12,
Soccer, 03/10 22:30, VENCUP, Live, 4′ Atletico Venezuela – Aragua (0-0), X2, 1.72, 20, bet365, 1-2, +14.4,
Soccer, 04/10 23:30, PER1, Live, 2′ Comerciantes Unidos – Alianza Lima 0:0 (0-0), 2 Asian, 2.02, 20, pinnacle, 1-0, -20,
Soccer, 06/10 21:00, CHI1, Pre-Match, Palestino – U de Chile 0:0, 2 asian, 2.03, 20, bet365, 1-3, +20.6,
Soccer, 06/10 22:30, BOL2, Live, 5′ Petrolero – Ferrocarril 0:0.75 (0-0), 1 asian, 1.80, 20, bet365, 5-0, +16,
Soccer, 06/10 23:00, VEN1, Pre-Match, Metropolitanos – Est. Caracas 0:0.5, 2 asian, 1.73, 20, bet365, 0-1, +14.5,
Soccer, 07/10 00:00, VEN1, Live, 7′ Anzoategui – Carabobo 0:0 (0-0), 1 asian, 1.97, 20, pinnacle, 1-0, +19.4,
Soccer, 07/10 01:30, COL1, Pre-Match, Independiente Medellin – Atletico Nacional 0:0, 1 asian, 1.94, 20, pinnacle, 2-1, +18.86,
Soccer, 07/10 03:00, MEX1, Pre-Match, Leon – Monarcas, over 2.75, 1.80, 25, bet365, 1-2, +10,
Soccer, 07/10 20:00, COST1, Pre-Match, Cartagines – Guadalupe 0:0.5, 1 asian, 1.87, 20, pinnacle, 5-1, +17.38,
Soccer, 08/10 00:05, BOL1, Pre-Match, San Jose – The Strongest 0:0.5, 2 asian, 1.75, 20, bet365, 3-1, -20,
Soccer, 10/10 11:00, VEN1, Live, 5′ Zulia – Zamora 0:0.5 (0-0), 2 asian, 1.72, 20, pinnacle, 2-0, -20,
Soccer, 11/10 05:00, GUAT, Pre-Match, Xelaju – Chiantla 0:0.5, 1 asian, 1.75, 20, bet365, 3-1, +15,
Soccer, 14/10 04:00, PER1, Pre-Match, Universitario – Union Comercio 0:0.5, 1 asian, 1.99, 20, pinnacle, 2-1, +19.8,
Soccer, 14/10 18:00, CHI2, Live, 35′ Cobreloa – Nublense 0:0.75 (0-0), 1 asian, 1.88, 25, bet365, 1-0, +11,
Soccer, 14/10 22:00, URU1, Live, 33′ M. Wanderers – Racing Club 0:0 (1-1), 1 asian, 1.78, 20, bet365, 1-2, -20,
Soccer, 15/10 23:00, COL2, Pre-Match, Fortaleza – Baranquilla, 1, 1.66, 30, bet365, 3-3, -30,
Soccer, 17/10 21:15, GUAT, Live, 1′ Deportivo Reu – Siquinala 0:0 (0-0), 1 asian, 1.90, 20, bet365, 2-2, 0,
Soccer, 18/10 00:00, COST1, Live, 7′ Limon – Grecia (0-0), over 2.5, 1.70, 25, bet365, abd, 0,
Soccer, 18/10 04:00, COL1, Pre-Match, Boyaca Chico – Jaguares 0:0.5, 1 asian, 1.85, 20, pinnacle, 1-0, +17.08,
Soccer, 20/10 22:00, BOL1, Pre-Match, Un. Sucre – Royal Pari 0:0, 1 asian, 1.73, 25, bet365, 0-1, -25,
Soccer, 21/10 04:00, PER1, Pre-Match, Sport Boys – Cantolao, X2, 1.70, 20, bet365, 3-1, -20,
Soccer, 21/10 20:00, MEX1, Live, 10′ Lobos – Chivas 0:0 (0-0), 2 asian, 1.74, 20, pinnacle, 1-1, 0,
Soccer, 21/10 22:00, URU1, Live, 25′ Rampla Juniors – Danubio 0.25:0 (0-0), 1 asian, 1.84, 20, pinnacle, 0-0, +8.4,
Soccer, 21/10 23:00, VEN1, Live, 8′ Estudiantes Merida – Atletico Venezuela (0-0), over 2.5, 1.70, 30, bet365, 3-1, +21,
Soccer, 22/10 01:00, ELSLV1, Pre-Match, Santa Tecla – Pasaquina, 1, 1.90, 25, bet365, 2-2, -25,
Soccer, 25/10 00:01, VENCUP, Pre-Match, Aragua – Zulia 0.25:0, 1 asian, 2.07, 20, pinnacle, 1-2, -20,
Soccer, 25/10 19:55, EL, Live, 59′ Dudelange – Olympiakos 0.5:0 (0-0), 2 asian, 1.79, 20, bet365, 0-2, +15.8,
Soccer, 25/10 22:00, BOL1, Live, 5′ Destroyers – Nacional Potosi 0:0.75 (0-0), 1 asian, 1.95, 20, bet365, 0-2, -20,
Soccer, 25/10 22:30, BOL2, Live, 77′ FATIC – Huanuni (3-2), over 5.75, 2.00, 20, bet365, 3-3, +10,
Soccer, 27/10 03:00 27-10 03:00, MEX1 MEX1, Pre-Match, Santos Laguna – Monterrey (25) Santos Laguna - Monterrey 0:0 (20), over 2.5 1 asian, 1.83 1.84, 45, pinnacle, 1-0, -8.2,
Soccer, 27/10 17:00, ESP2, Live, 10′ Mallorca – Las Palmas (0-1), under 3.25, 1.84, 20, pinnacle, 2-2, -20,
Soccer, 27/10 21:00, CHI1, Pre-Match, Union La Calera – San Luis 0:0, 1 asian, 1.84, 25, pinnacle, 0-1, -25,
Soccer, 27/10 23:15, ECU2, Live, 17′ Fuerza Amarilla – Puerto Quito 0:0.75 (0-0), 1 asian, 1.93, 25, bet365, 0-2, -25,
Soccer, 28/10 20:00, MEX1, Live, 10′ Toluca – Queretaro 0:0.75 (0-0), 1 asian, 1.93, 20, bet365, 4-0, +18.6,
Soccer, 28/10 21:30, BOL2, Live, 70′ Bermejo – Petrolero Yacuiba (1-1), over 2.75, 1.83, 20, bet365, 2-1, +8.3,
Soccer, 28/10 21:30, URU1, Live, 4′ Boston River – Defensor Sporting 0.75;0 (0-0), 2 asian, 1.95, 30, bet365, 3-1, -30,
Soccer, 28/10 22:00, VEN1, Live, 88′ Monagas – Portuguesa (1-1), over 2.5, 5.5, 5, bet365, 2-0, -5,
Soccer, 28/10 22:00 28-10 22:00, VEN1 VEN1, Live, 82′ Estudiantes Caracas – Estudiantes Merida (2-2) (20) 87' Estudiantes Caracas - Estudiantes Merida (2-2) (10), over 4.75 12 double chance, 1.70 1.72, 30, bet365, 3-2, +14.2,
Soccer, 28/10 22:00, VEN1, Pre-Match, Atletico Venezuela – Caracas 0.75:0, 2 asian, 1.83, 25, bet365, 0-1, +10.38,
